,Transitions
"(Fraction(0, 1), Fraction(0, 1))",97.8%
"(Fraction(1, 3), Fraction(1, 3))",0.8%
"(Fraction(2, 3), Fraction(2, 3))",0.6%
"(Fraction(1, 2), Fraction(1, 2))",0.4%
"(Fraction(0, 1), Fraction(1, 3))",0.1%
"(Fraction(1, 3), Fraction(1, 2))",0.1%
"(Fraction(1, 2), Fraction(2, 3))",0.1%
"(Fraction(2, 3), Fraction(0, 1))",0.1%
