,Transitions
"(Fraction(0, 1), Fraction(0, 1))",99.7%
"(Fraction(2, 3), Fraction(2, 3))",0.1%
"(Fraction(0, 1), Fraction(2, 3))",0.1%
"(Fraction(2, 3), Fraction(0, 1))",0.1%
